Serial No.,College Name,Question,Answer
584,JSS Academy of Technical Education - [JSSATE],"Which is better, JSS Bangalore or BVBCET (KLE Tech University) or NITTE Minakshi for CSE?","The CSE departments of these universities are mostly recognized as research centers. The CSE department of JSSTE is accredited by NBA and has been collaborating with many reputed research institutes and IT industries. They provide a conducive environment to carry out research and education together.
The department at three of these engineering colleges can be characterized by faculty staff, laboratories, and placements.
Faculty
The faculty members of JSSATE and NITTE Meenakshi University are better than BVBCET.
The professors are actively involved in research paper publication in many national and international journals and conduct hands-on training programs and workshops every year.
More than 30 faculties are there and most of them hold Ph.D. degrees along with research in different areas of IT and computer science.
Infrastructure
The computer science laboratories at NITEE Meenakshi university are far better than the BVBCET and JASSATE. 
They have 12 state-of-the-art laboratories and all are well equipped with WiFi internet connection and the computers are installed with necessary application software. 
Admission criteria
All these universities conducted entrance examinations for admission. Following are admission criteria by JSS, BVBCET, and NITEE Meenakshi university:
Academic marks: The students who have passed in 10+2 science (PCM) with 45% from any of the recognized universities. The mentioned academic marks for admission are similar in three of these universities.
Entrance examination: The entrance examinations accepted by these universities are KCET/JEE-MAIN or ComedK. 
Cut off
The total cut-off at these institutes as per 2019 are provided below;
Institutes
Cut off
JSS Bangalore
639-1176
BVBCET
5841
NITTE Meenakshi university
4134
Placement
The placement record of 2019 at all these universities are quite impressive for CSE. The detailed information of placement are given below;
JSS:
The highest CTC provided by JSSATE which is 43.17 LPA in 2019.
Some of the top recruiters include Amazon, Adobe, Accenture, Wipro, Cognizant, Microsoft, Cisco, TATA, Intel, etc.
BVBCET:
BVBCET offered the average salary package of 18-20 lakhs per annum through the placement process of 2019 and the highest package of 30 LPA.
The top recruiters include Sony, TATA Hitachi, Amazon, Analog devices, IBM, Samsung R&D, etc.
NITEE Meenakshi University: 
NITEE Meenakshi university provides the highest salary package of about 25-27 lakhs per annum.
Some of the top recruiters of the university include Wipro, Infosys, Unisys, NUTANIX, Tech Mahindra, Capgemini, HP, Dell, IBM, Accenture, etc.
JSS Bangalore and NITEE Meenakshi university are better options for computer science engineering as compared to BVBCET on the basis of CTC offered through placement drive."
584,JSS Academy of Technical Education - [JSSATE],"Which is better, JSS Bangalore (KLE Tech university) or BVBCET or NITTE Meenakshi university For CSE?","Speaking of Computer Science, JSSATE Bangalore is the best option against LNCT Bhopal. The colleges in North India are certainly pretty decent colleges but if you wish to land a high placement package then go for JSSATE. 
The degree of freedom and the X-factor you experience in this institute is terrific. The faculties are highly qualified as well as very cooperative. Several esteemed companies visit the college for recruitment purposes every year.
Following are a few points as to why JSSATE would be a better option for college:
It is located outside the main city and has a serene beauty and is in a peaceful area.
It favors diversity in the campus and offers a great environment in the campus.
During the placements, your proficiency in English would lead you through the obstacles, and this institute surely does help one in enhancing their English.
The placement opportunities are tremendous, especially in the CSE and EC branches. Mind you, the semester exams here are not to be taken lightly and are set in a different pattern to the North India colleges.
They have a decent infrastructure. The hostel, hostel food, and hygiene are all well maintained.
It would be a change you would embrace. Certainly, the best college for CS."
585,SDM College of Engineering and Technology - [SDMCET],No data found,No data found
586,Jagdishprasad Jhabarmal Tibrewala University - [JJTU],No data found,No data found
587,Jawaharlal Nehru Engineering College - [JNEC],No data found,No data found
588,Mohamed Sathak Engineering College - [MSEC],No data found,No data found
589,AVS Engineering College - [AVSEC],No data found,No data found
590,Ahmedabad Institute of Technology,No data found,No data found
591,Amritsar College of Engineering and Technology - [ACET],No data found,No data found
592,Anand International College of Engineering,No data found,No data found
593,M H Saboo Siddik College of Engineering - [MHSSCOE],No data found,No data found
594,Aurangabad College of Engineering - [ACE],No data found,No data found
595,Drs. Kiran and Pallavi Patel Global University,No data found,No data found
596,Cambridge Institute of Technology - [CIT],No data found,No data found
597,Coimbatore Institute of Engineering and Technology - [CIET],No data found,No data found
598,College of Engineering Thalassery,No data found,No data found
599,D. Y. Patil College of Engineering,"Which is better for CSE, DY Patil, Akurdi or NIT, Srinagar?","For studying Computer Science and Engineering (CSE), NIT Srinagar is better than DY Patil Akurdi in many ways, starting from its placements to the standard of education that they provide.
The table below gives a brief overview of the two institutes.
Particulars
DY Patil
NIT Srinagar
Total Fees
 INR 3.10 Lakh
INR 5.30 Lakh
Average Salary Offered 
INR 3.75 LPA
INR 11 LPA
Top Recruiters
Virtusa, Capgemini, Wipro
IBM, Samsung, Infosys, L&T
Reasons to choose NIT Srinagar for CSE over DY Patil are as follows. 
NIT CSE has good faculties for CSE.
The lab facilities at the institute are quite good.
The placement rate for CSE at the institute is almost 100%. In 2015, a CSE student got placements with a salary package of 72 lakhs.
The NIT tag you receive with your degree will offer certain advantages.
NIT is always better compared to other colleges for a degree. However, it will be better if you talk to the alumni or the current students before making a decision."
600,Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex - [SURTECH],Which college is better among JIS NARULA DR Sudhir Chandra or Guru Nanak of Kolkata for CSE?,"JIS College of Engineering, Kalyani is the best place to study in West Bengal. Following are the reasons to choose this college:
New courses, such as Speakers Corner and British Council, are introduced to help students develop completely. 
In addition, flip learning has been introduced. You will learn topics by being exposed to visuals. 
Classroom interiors have been modified. 
In addition, the examination pattern has shifted. There is no internal examination. Instead, you'll be asked to create a PowerPoint presentation on a course-related topic.
Semesters are still in place to ensure that you maintain control over your writing. 
However, previously passed students have complained that an informal setting for an educational institution is not appropriate. As students are eventually not properly trained to work in corporate environments which might hamper their placement opportunities and performance in internships."
601,East Point Group of Institutions - [EPGI],No data found,No data found
602,GITA Autonomous College - [GITA College],No data found,No data found
603,Global Institute of Technology - [GIT],No data found,No data found
604,Godavari Global University - [GGU],No data found,No data found
605,Guru Nanak Dev Engineering College - [GNDEC],My friend has got 77K AIR in JEE Main. He wanted to know if he should go for GNDU Amritsar or GNE Ludhiana?,"One of my friends studied at Guru Nanak Dev Engineering College of Ludhiana. According to him, they are not up to the mark.
The placements occur when the students of the college focus and prepare themselves for that. 
The students studying at Guru Nanak Dev Engineering College, Ludhiana do not belong to the professional environment and do not have good communication skills. 
Most of the students are from the native places and some of them come from villages. 
The communication skills, hence, will not be improved if one decides to study at this institute. 
Although, education depends on the capability of the student. So if you are confident about yourself and can manage your education on your own no matter how the college is, then Guru Nanak Dev Engineering College of Ludhiana is the appropriate place for you."
606,IFET College of Engineering - [IFET],No data found,No data found
607,KMCT College of Engineering,No data found,No data found
608,KPR Institute of Engineering & Technology - [KPRIET],No data found,No data found
609,Kathir College of Engineering,No data found,No data found
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],No data found,No data found
611,MEA Engineering College- [MEAEC],No data found,No data found
612,M. Kumarasamy College of Engineering - [MKCE],No data found,No data found
613,Mahaveer Institute of Science and Technology- [MIST],No data found,No data found
614,Mailam Engineering College,No data found,No data found
615,Manakula Vinayagar Institute of Technology - [MVIT],No data found,No data found
616,Marthandam College of Engineering and Technology - [MACET],No data found,No data found
617,PA College of Engineering - [PACE],No data found,No data found
618,Rajagiri School of Engineering & Technology - [RSET],No data found,No data found
619,Sahrdaya College of Engineering - [SCE] Kodakara,No data found,No data found
620,Sanjivani College of Engineering,No data found,No data found
621,Saroj Mohan Institute of Technology - [SMIT],No data found,No data found
622,Seemanta Engineering College,No data found,No data found
623,Sengunthar Engineering College,No data found,No data found
624,Shivani Engineering College - [SEC],No data found,No data found
625,Sri Venkateshwara College of Engineering - [SVCE],"Based on placements, which college is the best for ECE, RMK, SVCE, or Panimalar Engineering College?","The National Assessment and Accreditation Council (NAAC) has accredited the Institute with Grade 'A.' In the past, MIT has produced great scientists such as Dr. A P J Abdul Kalam.
The Production Engineering Department at MIT has been accredited with A5 Grade for 5 simultaneous years. On the other hand, Sri Venkateswara College of Engineering is a private engineering college which is affiliated to Anna University. The college offers mainly engineering and technology degree programs.
Admission process of MIT Chennai and SVCE
For admission into B.E/B. Tech program of MIT Chennai, students will have to obtain a minimum of 50% in 10+2 with PCM as compulsory subjects and must appear for the TANCET entrance test.ersities.
Students with 55% marks during their masters can apply for doctoral programs at MIT Chennai.
SVCE offers B.E/B. Tech programs, students with 50% in 10+2 are eligible to apply. Admission is done through TANEA.
Students obtain 50% in B.E/B. Tech and having a relevant GATE score can apply for M.Tech programs of both the Universities.
Alumni
MIT Chennai:
Some of the renowned alumni from MIT Chennai include Dr.A.P.J.Abdul.Kalam-Former President of India.
Other notable alumni include Dr.S.Sivan who is chairman at ISRO and Ram Narain Agarwal who is the Padma Bhusan Recipient and former Agni Program Director.
SVCE:
Some of the renowned alumni from SVCE includ Ananth Narayanan- CEO & Co-founder of Medlife.
Other notable alumni include Balaji Gopalakrishnan who is Director of Sanmina and Israel Jebasingh who is currently the director of Officers IAS Academy.
Facilities:
MIT is equipped with a library that harbors 82,923 volumes of books of choice in engineering and basic sciences subjects. The library also has 10,500 bound volumes of journals and 10,000 norms.
The College of Engineering library of Sri Venkateswara consists of a total of 1,00,379 books, 1010 newspapers, 9636 back volumes of newspapers, and 2200 CDs.
Placement:
Tabulated below are the placement statistics of both the institutions:
Criteria
Production Engineering at MIT
Mechanical Engineering at SVCE
Student Placed
80-85%
95%
Average Salary
10 LPA
5 LPA
Visiting Companies
Ashok Leyland, Titan, TCS, CTS, Amazon, Caterpillar, etc.
Royal Enfield, Hyundai, TVS, Vedanta, Mahindra, L&T, RAMCO, MRF, etc.
The two courses come with their own merits and demerits, it’s important that students follow their choice of interest and scrutinize both keeping interest into consideration."
626,Swami Vivekananda Institute of Technology - [SVIT],No data found,No data found
627,TKR College of Engineering and Technology - [TKRCET],No data found,No data found
628,Trinity College of Engineering,No data found,No data found
629,APS College of Engineering - [APS],No data found,No data found
630,College of Engineering - [COER],No data found,No data found
631,Park College of Engineering and Technology - [PCET],No data found,No data found
632,"University Institute of Information Technology, Himachal Pradesh University - [UIIT]","Should I choose UIIT Shimla or Chitkara University, Baddi for CSE?","UIIT Shimla is one of the leading government institutes for BTech courses. in information technology programs in Northern India. The course fee for BTech CSE at the institute is 4.47 lakhs. Admission is done based on marks obtained in the entrance exam HP CET (Himachal Pradesh common entrance test).
Chitkara university Baddi is a very famous nonprofitable university in North India. It is approved by UGC and accredited by NAAC with a’ B’ Grade. The BE CSE program at the institute costs around 5.6 lakhs. The admission is based on the performance of the students in JEE Main.
Faculty:
UIIT Shimla:
Faculty at the department of CSE in UIIT Shimla is very well qualified and knowledgeable.
Chitkara university Baddi:
The faculty at the department of CSE in Chitkara university Baddi is very well qualified.
Maximum of the faculty members are Ph.D. holders in their field. Teachers are friendly and guide students for their overall development.
time. Most of the faculty members hold a Ph.D. in their respective fields.
Placements:
UIIT Shimla:
Almost 60% of the students were placed from UIIT Shimla.
The highest salary package offered was 6 lacs per annum and the average salary package was 3 lacs per annum.
Cap Gemini, Wipro, and Infosys were some of the top recruiters.
Mostly roles of project engineers were offered.
Chitkara university Baddi:
Almost 80 to 90% of students got a place from Chitkara university Baddi. The highest salary package offered varies from 16 to 17 lacs per annum.
Mass recruiting companies like TCS, Wipro, Infosys visit the college frequently.
Around 500 companies visited the campus to offer placements to students in last year’s placement drive.
Infrastructure:
UIIT Shimla:
UIIT Shimla offers a free Wi-Fi facility across the campus.
All the labs and well-equipped classrooms are furnished for smart classes.
The library is well maintained and includes all the necessary materials related to different courses.
Chitkara university Baddi:
Infrastructure at Chitkara University Baddi is also good. Wi-Fi is available in each part of the university.
The laboratories are well-equipped to carry out academic and research works.
The details discussed above, about the two Universities, will help you in making a decision as to which college you must opt to. However, the requirements are to be considered like the fee structure and eligibility to ensure your chances of getting admitted."
633,GD Goenka University - [GDGU],Which is the better college between GD Goenka and Sharda University for law?,"A few of my friends pursued law from GD Goenka and Sharda University. Here are some tips that might help you. I'll try my best to answer your question by covering more and more parameters I can. These include -
Infrastructure – The infrastructure of both the universities is good in their aspects. But, that doesn't matter a lot as both of them are approximately on par with each other.
Location – Sharda University is situated in the city of Greater Noida, Uttar Pradesh while on the other hand, GD Goenka University is situated in the city of Gurugram, Haryana.
Fee structure – The total fees at Sharda University is 8.86 Lakhs while at GD Goenka is 10.35 Lakhs
Academics – Both are mostly at par with each other.
Placements – If you have interned under any of the top or good law firms of India having passion or enthusiasm then you will surely be landed on one of the best platforms.
Conclusion –
If you seriously want to study in a good law school having a studious environment then appear for law entrance exams and crack them wisely that would make you eligible for NLUs.
Suppose you do not crack the entrance exam on your first attempt then take a year drop and try in the next year by preparing hard.
It depends upon you how hard you are working for your career. If you are seriously working hard for your career then your future is certain despite your law school, whether government or private. So, choose wisely and work on your CV."
633,GD Goenka University - [GDGU],"Which college should I choose for design, Avantika University or G.D. Goenka University?","Chandigarh University is doing really well and growing rapidly. Being a student of the university, my sister has often appreciated it as the most sought-after educational institute in the region.
Though, I don’t have much data about DAV University so I won’t be speaking much about it. But, I can surely tell you about Chandigarh University (CU).
Chandigarh University has become the most progressive hub in the Northern part of India.
With the global approach, they have instilled the practicalities of their respective careers into the students. Due to this, CU is the most preferred educational destination among students these days.
With all this good going anyone will have doubts, but trust me CU is transparent to its students and their parents and they keep a regular check on them.
Categories DAV University Chandigarh University
Course Fee 5.14 lakh 7.24 lakh
Highest CTC 15 LPA 31 LPA
Average CTC 6 LPA 8-10 LPA
Recruiting Companies TCS, Bosch, Wipro, JP Morgan, etc. Infosys, Cognizant, HP, HCL, etc.
You can easily opt for Chandigarh University, as it is a respected institution. It is popular both among students and corporate professionals. Many top recruiting companies take part in their placement drives or programs."
634,NIILM University,No data found,No data found
635,IEC University Baddi - [ICEU],No data found,No data found
636,ITM (SLS) Baroda University,No data found,No data found
637,ISL Engineering College - [ISLEC],No data found,No data found
638,Trident Academy of Technology,No data found,No data found
639,Maulana Azad University,No data found,No data found
640,Himalayan University - [HU],No data found,No data found
641,People's University,"Which college is better in Bhopal, LNCT, or people?","All the colleges can be good for a student, if he/she focuses on their studies. It's not the college that matters, it is the student’s hard work that makes a difference. 
Out of the two, LNCT is preferred more than the other colleges because some faculties of LNCT are brilliant and resourceful. They are cooperative and highly experienced.
If you think going through a revised copy of what the teachers taught will help you during exams, you are completely wrong. You as a student need to work on your academic skills, communication skills, presentation skills, etc. Teachers can provide you with the basic guidance but in the end it all matters on your hard work.
Categories LNCT Bhopal
Course Fee 4.38 lakh
Placement Percentage 75-80%
Highest CTC 22-25 LPA
Average CTC 9-12 LPA
Recruiting Companies Wipro, Infosys, Accenture, Capgemini, etc.
According to placements also, LNCT is taking all the points and is a decent option as LNCT has a placement rate of 75-80% especially for the students in the CSE and IT departments. Therefore, opt for LNCT without any further thoughts."
642,Amrita School of Engineering - [ASE],No data found,No data found
643,Ganga Group of Institutions - [GGI],No data found,No data found
644,RajaRajeswari College of Engineering - [RRCE],No data found,No data found
645,Sri Manakula Vinayagar Engineering College - [SVMEC],No data found,No data found
646,International Institute of Technology and Management - [IITM],No data found,No data found
647,Shobhit University,No data found,No data found
648,Maharishi University of Information Technology - [MUIT],No data found,No data found
649,Vidya Knowledge Park - [VKP],No data found,No data found
650,Jaypee University Anoopshahr,No data found,No data found
651,St.Joseph University,No data found,No data found
652,Rishihood University,No data found,No data found
653,Sarala Birla University - [SBU],No data found,No data found
654,Radha Govind University - [RGU],No data found,No data found
655,Kavikulguru Institute of Technology and Science - [KITS],No data found,No data found
656,Stanley College of Engineering and Technology for Women - [SCETW],No data found,No data found
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,No data found,No data found
658,Anand Engineering College - [AEC],No data found,No data found
659,Andhra Loyola Institute of Engineering - [ALIET],No data found,No data found
660,Baba Banda Singh Bahadur Engineering College - [BBSBEC],No data found,No data found
661,Bangalore College of Engineering and Technology-[BCET],No data found,No data found
662,Bankura Unnayani Institute of Engineering - [BUIE],No data found,No data found
663,Chadalawada Ramanamma Engineering College - [CREC],No data found,No data found
664,Chettinad College of Engineering and Technology - [CCET],No data found,No data found
665,"College of Engineering And Management, Kolaghat",No data found,No data found
666,DAV Institute of Engineering and Technology - [DAVIET],Which college should I prefer between DAVIET and GNDU?,"Both colleges have a good reputation but which is a better option that depends upon a number of factors. CGC Landran is ranked in 210-250 band by NIRF 2020 whereas DAVIET is ranked 100 by India Today.
Given below is a brief overview of the two colleges.
Parameters
CGC Landran
DAVIET
Approved by
AICTE, PCI, NCTE
UGC, AICTE, NAAC ‘A’ grade
Courses offered
BTech, BBA, MBA, BSc, BCA, Bcom, MCA
BTech, BCA, BHMCT, MBA, BBA, Bcom, BTTM
Entrance exam accepted
JEE Mains, GATE, PTU CET, CAT
JEE Mains, GATE, CMAT
Average CTC
7.08 LPA
3.5 LPA
DAVIET fee structure is lower than CGC Landran. DAVIET has an average annual fee of Rs. 70,000 whereas CGC Landran has an average annual fee of Rs.96,000.
Scholarships:
CGC Landran offers merit scholarships, merit-means scholarships, scholarships for differently-abled students, etc.
DAVIET offers Post Matric Scholarships to eligible candidates from the reserved category as per the Punjab Govt/IKG PTU norm.
Placement:
CGC Landran has better placement (almost 100%) in IT/CSE department as compared to DAVIET Jalandhar and for core streams like Mechanical, Electrical etc both are equally good. On the other hand, DAVIET has a lower placement percentage but has a higher average salary as DAVIET does not allow mass recruiters which offer less than 3 LPA packages.
Every year top companies like Samsung, IBM, Microsoft, Dell etc visit both the campuses.
In terms of placement percentage, CGC Landran has led with 100% placement compared to DAVIET Jalandhar which has 85% placement.
The average package of both the colleges is the same 3.5 LPA.
The highest package of CGC Landran is 35 LPA whereas the highest package of DAVIET Jalandhar is only 10 LPA. As CGC is a group of institutions, it has advantages over the highest package data.
So, the choice of college purely depends on one’s priority. Placement wise CGC Landran has an edge over DAVIET but if you consider fee structure and campus location or exposure then DAVIET is better. DAVIET is located in Jalandhar city and hence has location advantage and better connectivity than CGC Landran. Academically both are equally good colleges and their average placement is similar. DAVIET has comparatively a smaller number of placements but quality placements and CGC has more placements from mass recruiters."
667,Dhanalakshmi Srinivasan Engineering College - [DSEC],No data found,No data found
668,Ellenki College of Engineering and Technology - [ECET],No data found,No data found
669,GKM College of Engineering and Technology - [GKMCET],No data found,No data found
