Serial No.,College Name,Info Data
524,Dhole Patil College of Engineering - [DPCOE],"Dhole Patil College of Engineering (DPCOE) established in 2008, is a premier Engineering and Management College located in Pune, Maharashtra. DPCOE offers an undergraduate degree in BE in 6 specializations, and an MBA degree in 5 specializations. It is the first college in Pune to offer an undergraduate engineering degree in Automobile Engineering. The admission in DPCOE is strictly based on the merit secured in either the state level or national level entrance examinations. DPCOE has also received the Rotary Professional Excellence Award for the Best Urban College in Education."
525,Don Bosco Institute of Technology - [DBIT],"Don Bosco Institute of Technology (DBIT), Bangalore is a premier institute established in the year 2001. The institute is affiliated to Visvesvaraya Technological University (VTU), Belagavi and accredited by NAAC B+ grade. Don Bosco Institute of Technology offers undergraduate and postgraduate program that are recognised by All India Council for Technical Education (AICTE), New Delhi. DBIT offers BE in several specializations. NBA has accredited the courses like BE Computer Science & Engineering, Electronics and Communication Engineering, Information Science & Engineering, Electrical and Electronics Engineering and Civil Engineering. Admission to BE course is based on marks secured in 10+2 and a valid score in CET/ COMEDK Exams. DBIT also offers MBA an a postgraduate course. Admission to MBA is based on graduation marks and a valid score in entrance exams like PGCET/ GMAT/ KMAT/ CAT/ / / MAT/ / XAT/ NMAT etc."
526,Dronacharya Group of Institutions - [DGI],"Dronacharya Group of Institutions, Greater Noida (DGI) is a private institute established in the year 2006 by Smt. Anguri Devi Charitable Trust. The Dronacharya Group of Institutions, Greater Noida is affiliated with Dr. A. P. J. Abdul Kalam Technical University (AKTU), Lucknow and the institute is approved by the All- India Council for Technical Education (AICTE)."
527,Gandhinagar Institute of Technology - [GIT],"Gandhinagar Institute of Technology was established in the year 2006 by Platinum Foundation Trust. It is a private institute situated near village “Moti Bhoyan” on Gandhi Nagar, Gujarat and 24 km away from Ahmedabad city. The institute is approved by All India Council for Technical Education (AICTE) and affiliated to Gujarat Technological University. It provides B.E, M.E and MBA in different fields. Admission to same through GUJCET/ PGCET/ CAT/ MAT/ XAT score."
528,HMR Institute of Technology & Management - [HMRITM],"HMR Institute of Technology and Management (HMRITM), Delhi is a prestigious institute established in the year 2002. It is affiliated with Guru Gobind Singh Indraprastha University and has been approved by AICTE. GGSIPU conducts the Common Entrance Test (CET), which serves as the basis for admission to all courses. The intake for PG courses is 60 seats, whereas the intake for B.Tech degrees varies by branch, ranging from 60 to 180. The institute offers B.Tech and B.Tech Lateral Entry programs at the UG level and MBA at the PG level through nine departments."
529,Indore Institute of Science and Technology - [IIST],"Indore Institute of Science and Technology (IIST), Indore is a prestigious institute established in the year 2003. It is affiliated to Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal & is recognized by UCG and DTE, Madhya Pradesh Govt. Accredited A+ grade by NAAC, IIST Indore offers 10+ programs and 9 branches under the UG and PG programs that include BTech and ME courses. The institute offers a 4-year long BTech program across several disciplines at the undergraduate level. Admission to this course is primarily based on the JEE Mains score followed by DTE MP counselling. For the year 2023, the IIST Indore JEE Mains cutoff ranged from 450013 rank to 1105143 rank for the general category candidates. Along with this, the institute offers an ME program at the PG level for a duration of 2 years. This course is offered under 3 different specialisations. IIST Indore accepts GATE scores for allowing admission to its ME program."
530,KSR College of Engineering,"The K.S Rangasamy College of Engineering, established in 1994 is located in Tiruchengode, Tamil Nadu. The college offers 2 courses at the undergraduate level, ie. B.Tech and BE with 6 specializations, and 4 courses at the postgraduate level namely, ME, MCA, M. Tech with 6 specializations, and MBA. Selection to the undergraduate courses happens based on scores obtained in TNEA, and selection for the postgraduate courses is done based on scores in TANCET and GATE and for MBA based on TANCET. The application for these courses is available online."
531,Loyola Institute of Technology - [LIT],"Loyola Institute of Technology was established in 2003, at Chennai, Tamil Nadu. The institute has the approval of AICTE & is affiliated to Anna University. LIT Chennai offers BE program at the undergraduate level and ME, MCA, MBA programs at the post-graduate level. Candidates can register for the courses online through the official website. The institute has also maintained a great placement record over the years."
532,Lucknow Institute of Technology - [LIT],"Lucknow Institute of Technology is a private institute present in the technology capital of Uttar Pradesh, Kanpur. It is a lavish green campus with unparalleled infrastructure and excellence in education. It is affiliated with Dr. A. P. J. Abdul Kalam Technical University, Lucknow, and the Board of Technical Education, UP. It also has approval from AICTE. Check Lucknow Institute of Technology, Lucknow, Uttar Pradesh Admission"
533,Madha Engineering College,"Madha Engineering College is located at Kundrathur in Chennai. It was established in 1998. The College belongs to the Madha Group of Educational Trust and is affiliated to Anna University, approved by AICTE. The college offers UG and PG degree courses in various specializations of the engineering field. Madha Engineering College offers B.E. Course across 7 fields and B.Tech courses in 2 fields for the duration of 4 years at the undergraduate level. The college provides M.E. courses in 5 specializations with MCA and MBA courses for the duration of 2 years. The courses offered by this college are affiliated to Anna University and are approved by the University Grant commission."
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],"Maharaj Vijayaram Gajapathi Raj College of Engineering (MVGRCE) is an affiliation of Jawaharlal Nehru Technical University, Kakinada. It is ranked at 76th position among Top 100 private Engineering Institute by i3RC Times Rankings in 2018. The college offers B.Tech, MBA, and M.Tech to its applicants for Undergraduate and Postgraduate admissions respectively. In addition, it also offers some Ph.D. programs in MECH, ECE, CSE, CHEM, CIV. The placement rate of MVGRCE is 70% with 28 LPA as the highest CTC and 5 LPA as the average CTC offered to students by companies like Amazon, Mu- Sigma, Jaro Education, Hansa Solutions, Riktam Technology, Effftronics, Nine Leaps, etc."
535,Manav Rachna University - [MRU],"Manav Rachna University (MRU), Faridabad is ranked 174th (Engineering) and ranked 151-200 (University) by NIRF India Rankings 2020 by MHRD. MRU Faridabad provides 100% placement assistance to students. More than 100 companies participated in the placement drive at the university and offered various roles to the students with great salary packages. The highest annual salary package offered amounts to INR 23 LPA. MRU Faridabad offers various UG & PG Courses in the discipline of Engineering & Technology, Law, Education, Business Studies and Applied Sciences."
536,Orissa Engineering College - [OEC],"Established in 1986, Orissa Engineering College is the first private engineering college of Odisha. Counted amongst the best technical institutes of the country, the institute is AICTE approved and NBA and NAAC accredited."
537,RD Engineering College,"R.D. Engineering College (RDEC) is an engineering college, located in the city of Ghaziabad in the state of Uttar Pradesh. R.D. Engineering College is one of the pioneering institutions founded by the Rameshwar Dayal Educational Trust. The Rajeshwar Dayal Educational Trust was established on April 20, 2004, to provide high-quality education, encourage creative talent, and establish an epicenter of excellence in learning and research. The institute was founded as a self-supporting institution."
538,Sri Indu Institute of Engineering & Technology - [SIIET],"Sri Indu Institute of Engineering and Technology (SIIET), Hyderabad is a private college established in 2006, affiliated to JNTUH and approved by AICTE. The college offers undergraduate and diploma courses in the discipline of Engineering and Technology across 7 specializations. Admission to the SIIET is done on the basis of the performance of the candidates in the state level entrance exam."
539,Rajalakshmi Institute of Technology - [RIT],"Rajalakshmi Institute of Technology (RIT), Chennai is a private engineering college established in 2008, affiliated to Anna University and approved by All India Council for Technical Education (AICTE). It offers undergraduate courses in the discipline of Engineering and Technology. Additionally, the institute has placed more than 1100 students and invited 275+ recruiters. The highest package offered at INR 12 LPA. Some of the top recruiters are Infosys, Justdial, L & T InfoTech, Wipro, JBM Auto Systems, Amazon, Capgemini, Altair etc."
540,Rajasthan Institute of Engineering and Technology - [RIET],"Rajasthan Institute of Engineering and Technology (RIET), Jaipur, is a premier technical & management institution, which was established in the year 2000 by a prominent group of Educationists and Philanthropists, Chandrawati Education Society, with a vision of establishing a World Class Education and Training Institute that creates a vibrant community of Intellectuals and Entrepreneurs by generating creativity, competence and commitment in their character to ensure sustainable development of society. The institution is approved by All India Council for Technical Education (AICTE) New Delhi and it is duly affiliated with . The institute offers many specializations of engineering disciplines at  with MCA and MBA Courses altogether as a part of the curriculum."
541,Rajshree Institute of Management and Technology - [RIMT],"RIMT (Rajshree Institute of Management and Technology), Bareilly was established in 2009. The institute offers UG, PG and Diploma programs in various specializations such as Engineering, Management, and Science. Admission to RIMT is done on the basis of entrance tests. The admission forms are available at the city office and college campus of the institute. The B.Tech, MBA and M.Tech program is affiliated to AKTU, Lucknow whereas PG diploma and Polytechnic program is affiliated to BTE, Lucknow. B.Sc, BBA, B.Com, B.Ed is affiliated to MJPRU."
542,SSM College of Engineering - [SSMCE],"SSM College of Engineering is situated in the city of Namakkal in Tamil Nadu state. It was established in the year of 1998 under the approval of All India Council for Technical Education (AICTE). The college was established by the ‘Gnanathandhai’ SSM Subramaniam and is headed by the Chairman ‘Cavalier’ Dr. M. S. Mathivaanan. SSMCE is affiliated to Anna University, Chennai. SSMCE Namakkal has acquired 8th place in the rankings for the Anna University Engineering Colleges."
543,Sam College of Engineering and Technology - [SAMCET],"SAM College of Engineering and Technology (SAMCET) was established in the year 2007. The institute is approved by the All India Council of Technical Education (AICTE) and Government of India, New Delhi. SAMCET is affiliated to Barkatullah University, Bhopal, Madhya Pradesh Board of Secondary Education, Bhopal and Makhanlal Chaturvedi Rashtriya Patrakarita Avam Sanchar Vishwavidhyalaya, Bhopal. The institute offers undergraduate and postgraduate courses in Management and Engineering."
544,Sanghvi Institute of Management and Science - [SIMS],"Sanghvi Institute of Management and Science, Indore was established in 2006. The institute is a Private College of Indore located in the state of India Madhya Pradesh. The institute is one of the prestigious institutes and is accredited from AICTE, DTE, and is associated with Devi Ahilya Vishwavidyalaya. The institute offers more than 28 courses in various branches such as IT, Engineering, Science, Management, Commerce and Banking. The institute grants specializations in different courses such as B.Tech, B.Com, B.Sc, B.B.A, BCA."
545,Sarvajanik College of Engineering and Technology - [SCET],"The Sarvajanik College of Engineering and Technology was established at Surat in 1995. According to IndiaToday, the college was ranked as the 17th for the year 2018 in Gujarat. College offers various Undergraduate and Postgraduate courses in the field of Technology and Computer Applications. Major IT companies coming for placement are Thomson Reuters CMC Ltd., Collebra, BlazeCLan, to name a few. Admissions are based on the GUJCET merit rank."
546,Seacom Engineering College,"Seacom Engineering College was established in 2006 in Howrah to impart higher education to the students in fields like Engineering, Management, and Computer Applications. The college offers Undergraduate courses like B.Tech or B.E in subjects like IT, Electronics and Computer Engineering, Civil engineering, Mechanical engineering, Marine Engineering, and Computer Science and Engineering. The college also offers postgraduate courses like MCA and MBA. The undergraduate students are shortlisted based on their Entrance Test JEE and WBJEE results. The students for M.C.A are shortlisted completely on merit-basis and the selection of MBA students is done based on their Entrance test named CAT or MAT results."
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],"Seth Jai Parkash Mukand Lal Institute of Engineering & Technology [JMIT], Yamuna Nagar was established in 1995 and duly affiliated to Kurukshetra University. JMIT is a chain of twenty-two institutions spread over Haryana, U.P, and Punjab and owe their existence to the munificent and philanthropic spirit of Seth Mukand Lal, a close adherent of Gandhi Ji. He came under the Gandhian influence in earlier twenties. Gandhi Ji had fondly nicknamed him ""Pagle Bhagat"". Seth Mukand Lal reportedly bore the entire expenditure incurred in the holding of All India Congress Sessions on the banks of river Ravi, Lahore in 1929 where a resolution for complete independence of India was adopted."
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],"Shah and Anchor Kutchhi Engineering College [SAKEC], was established in the year 1985. The college is managed by Mahavir Education Trust, affiliated to the University of Mumbai, approved by D.T.E. and AICTE. It ranked 251-300 in NIRF 2020. Awarded “A” Grade by NAAC. The college offers undergraduate B.Tech. courses in Computer Engineering, Information Technology, Electronics and Computer Science and Electronics & Telecommunication Engineering, Artificial Intelligence and Data Science, Cyber Security, Electronics Engineering (VLSI Design Technology), Electronics and Communication (Advance Communication Technology). It also offers Post Graduate Course M.Tech. in . The U.G. Program in Computer Engineering and Information Technology of the college has been awarded accreditation by the National Board of Accreditation (NBA) for 3 Years."
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,"Sri Indu College of Engineering and Technology, Hyderabad established in 2001, is affiliated to JNTUH, Hyderabad and approved by AICTE. The college offers UG and PG courses in the discipline of Engineering & Technology and Management across various specializations, approved by UGC."
550,Sri Krishna Institute of Technology - [SKIT],"Sri Krishna Institute of Technology (SKIT), Bangalore is a private engineering college established in the year 2001. The institute has been approved by AICTE and is affiliated to Visvesvaraya Technological University. It offers B.E across six disciplines viz. Civil Engineering, Computer Science and Engineering, Information Science & Engineering, Artificial Intelligence and Machine Learning, Mechanical Engineering and Electronics and Communication Engineering. Admission to SKIT Bangalore is based on JEE Main/CET/COMEDK score."
551,Sriram Engineering College - [SEC],Sriram Engineering College (SEC) is a private engineering institute established in 1993. It is located in the Thiruvallur district of Tamil Nadu. The college has been approved by AICTE & is affiliated to Anna University. It offers B.E. & B.Tech at the UG level and M.Tech at the PG level. The college aims at providing quality technical education and excellent placement opportunities to its students.
552,St. Thomas College of Engineering and Technology- [STC],"St Thomas College of Engineering and Technology (STCET), Alappuzha was established in 2010 and managed by St. Thomas Educational Society; Adoor.STCET shall be a lead institution in Engineering having national eminence and international visibility."
553,Swami Vivekananda Institute of Science and Technology - [SVIST],"Swami Vivekananda Institute of Science and Technology - [SVIST], Kolkata, West Bengal was established in 2008 and is affiliated to Maulana Abul Kalam Azad University of Technology. The college offers undergraduate courses for B. Tech in various disciplines. The college also offers a two years master degree program for MBA and 3 years Polytechnic diploma under two specializations."
554,Techno International New Town - [TINT],"Techno International New Town (TINT) is a private institute under the aegis of Techno India Group. Established in 2005, it is a prestigious institute set up in Newtown, Rajarhat, Kolkata. It is affiliated to Maulana Abul Kalam Azad University of Technology and has been approved by AICTE. The institute is also ranked at the 13th position among the top 15 engineering institutes in the Eastern Region in Times of India Engineering Rankings 2024."
555,Theem College of Engineering - [TCOE],"Established in 2009, Theem College of Engineering, Palghar has been since managed by Haji Jamaluddin Thim Trust. TCOE Palghar courses include BE and Polytechnic. Admission is provided on the basis of composite score i.e., marks obtained after adding 50% of MHT-CET/ JEE Main marks and 50% of normalized standard Higher Secondary Examination in Physics, Chemistry, and Mathematics or its equivalent examination marks. However, the candidates are eligible only if they have completed the Higher Secondary School Examination of Maharashtra State Board of Secondary & Higher Education or its equivalent."
556,Xavier Institute of Engineering - [XIE],"Xavier Institute of Engineering is a private institute established in the year 2005. It is AICTE approved, affiliated to University of Mumbai and has got recognition by the Directorate of Technical Education, Govt. of Maharashtra It is a Christian minority college which offers only UG Engineering degree in three specialisations and takes admission through entrance tests."
557,Velammal Institute of Technology - [VI-Tech],"Velammal Institute of Technology, Tamil Nadu is a premier private educational institution that was established in 2008. The Institute is affiliated with Anna University and is approved by the AICTE and NBA. The Institute has also been accredited by NAAC."
558,Vignan's Institute of Information Technology - [VIIT],"Established in 2002, Vignan's Institute of Information Technology (VIIT) is a private institute offering UG, PG and Diploma courses in the discipline of Engineering & Technology across various specializations. The institute is affiliated with Jawaharlal Nehru Technological University, Kakinada and it is approved by AICTE, UGC, and NBA."
559,Knowledge Institute of Technology - [KIOT],"Knowledge Institute of Technology (KIOT), Salem is awarded ‘Best Upcoming Engineering College’ in Tamil Nadu in Sustainable Institute Industry Partnership Award by Society for Educational and Entrepreneurship Development (SEED) and ‘Best Performing Institution for Innovation of Engineering & Technology IET’ by Recruitment Analysis Council. The institute has a record of providing more than 90% placement every year and international placement with a salary package worth INR 18.5 lakhs per annum."
560,Vasireddy Venkatadri Institute of Technology - [VVIT],"Vasireddy Venkatadri Institute Of Technology (VVIT), a premier Private (Autonomous) College of Andhra Pradesh which was established in 2007 under Social Educational Trust by Sri. Vasireddy Vidya Sagar to provide world-class technical education to conquer tomorrow's technology at the global level with human values. It is situated in Nambur village, Pedakakani Mandal of Guntur district, Andhra Pradesh. It offers undergraduate and postgraduate Engineering courses and MCA. VVIT has emerged as one of the top ten Engineering Colleges from the 200 engineering colleges affiliated to  and accredited to NAAC by ‘A’ grade. Its  are accredited by NBA."
561,Sushant University,"Sushant University – Erstwhile Ansal University, Gurgaon is ranked 4th for Best Emerging Business School by Times of India B-School Survey and ranked 1st for Private Architecture School by Outlook. More than 250 recruiters have visited for on-campus recruitment. The institute has a strong 3500+ alumni network and over 500 students have gone studying abroad under SU’s partnership program with universities in the United States, UK and Australia."
562,William Carey University - [WCU],William Carey University was established in 2005 in Shillong. The University currently has 11 departments and offers 107 courses.
563,Career Point University - [CPU],"Career Point University (CPU), Rajasthan was established in 2012. The 50 Acre campus was established by Rajasthan State Legislature Council under ‘Career Point University Act’. The University offers Undergraduate, Postgraduate and Diploma programs approved by AICTE in streams like Management, Law, Technology, Computer, Science, and Social work. CPU is also approved by University Grants Commission (UGC), PCI, BAR council, and NCTE. Admission to the courses is done on the basis of various national-level examinations such as JEE Main, , or CAT."
564,SRMIST Delhi NCR Campus,"SRM Ghaziabad is a renowned educational institution that aspires to be one of the best private universities in Delhi-NCR. SRM Ghaziabad was established in the year 1997. The university is recognized as Category 1 & A Grade by UGC & MHRD and is approved by AICTE & PCI. SRM Ghaziabad offers various UG, PG & Doctoral Programs. It also offers professional degree courses in Engineering and Technology, Management, Computer Applications, Pharmacy, and Hotel Management."
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]",Chhotubhai Gopalbhai Patel Institute of Technology (CGPIT) is a self-financed institution started in 2009 by Bardoli Pradesh Kelavani Mandal (BPKM). The college is affiliated to a state private university named UKA Tarsadia University. The college is located in the Malibu campus of the university.
566,K.S. School of Engineering and Management- [KSSEM],"KSSEM Bangalore (K.S School of Engineering and Management) was established in the year 2010 in Bangalore, Karnataka. The institute is affiliated with Visvesvaraya Technological University, Belgaum, and approved by the All India Council for Technical Education (AICTE). KSSEM is currently offering three courses in the field of Engineering and Management. At the UG level, the institute offers a B.E., and for the PG level, the institute has M.Tech and MBA degrees to offer."
567,Vivekananda Institute of Technology - [VIT],"Vivekananda Institute of Technology (VIT), Jaipur is a private engineering college established in the year 2008. It is affiliated to Rajasthan Technical University and is approved by AICTE. Presently, it is running a B.Tech. the program across 5 specializations. It also offers lateral entry to the course. Admission to the VIT Jaipur is done on the basis of JEE Main and REAP Counselling. The institute has excellent infrastructural facilities and a good placement record. In the year 2019, VIT has placed more than 2515 students with the highest package of INR 10 LPA and the average package of INR 2.5 LPA. The highest international package is recorded at INR 53 LPA. Some of the top recruiters include Wipro, Microsoft, HDFC, Intel, Amazon, Accenture, Oppo, etc."
568,PERI Institute of Technology - [PERIT],"PERI Institute of Technology strives to offer quality-based education to students of different cultures by way of career education programs. The Insitute is affiliated to Anna University and has been approved by AICTE. It lays great emphasis on offering an education that is intellectually challenging and one that reflects a high standard of performance. The college is completely dedicated to serving a culturally and ethnically diverse population. It operates with the mission of providing requirement-based education in a stimulating and challenging study environment. PERI Institute provides state-of-the-art infrastructure facilities to achieve excellence in teaching-learning, Research and Development."
569,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology (VPKBIET) is located in Baramati, Pune, Maharashtra. The institute offers BE program in six specializations, while it offers five specializations in the ME program. The admission to these courses is based on the merit secured in the entrance examination and is regulated through the guidelines issued by the Directorate of Technical Education(DTE), Maharashtra. The entrance exams accepted for the admission are MHCET and GATE. Candidates need to apply online for the admission process through the official website."
570,Adhiparasakthi College of Engineering Arcot - [APCE],"Adhiparasakthi College of Engineering Arcot (APCE), established in 1984, is an affiliation of Anna University, Chennai. The institute offers 2 Undergraduate and 3 Postgraduate programs in various specializations. Admission to UG programs is based on the TNEA exam and admission to the PG programs is based on the TANCET exam. The eligibility criteria for the UG programs is 50% marks in the 10+2 in science stream and the eligibility criteria for the PG programs is Graduate degree in relevant stream. Interested candidates are applicable to apply online as well as offline for the admission process."
